agency,state,county,source,note
Office of the State Attorney Sixth Judicial Circuit,Florida,Pasco County,https://www.flsenate.gov/Laws/Statutes/2025/26.021,Fla. Stat. 26.021(6): the sixth circuit is Pasco and Pinellas counties
Office of the State Attorney Sixth Judicial Circuit,Florida,Pinellas County,https://www.flsenate.gov/Laws/Statutes/2025/26.021,Fla. Stat. 26.021(6): the sixth circuit is Pasco and Pinellas counties
"Office of the State Attorney, 20th Judicial Circuit",Florida,Charlotte County,https://www.flsenate.gov/Laws/Statutes/2025/26.021,"Fla. Stat. 26.021(20): the twentieth circuit is Charlotte, Collier, Glades, Hendry and Lee counties"
"Office of the State Attorney, 20th Judicial Circuit",Florida,Collier County,https://www.flsenate.gov/Laws/Statutes/2025/26.021,"Fla. Stat. 26.021(20): the twentieth circuit is Charlotte, Collier, Glades, Hendry and Lee counties"
"Office of the State Attorney, 20th Judicial Circuit",Florida,Glades County,https://www.flsenate.gov/Laws/Statutes/2025/26.021,"Fla. Stat. 26.021(20): the twentieth circuit is Charlotte, Collier, Glades, Hendry and Lee counties"
"Office of the State Attorney, 20th Judicial Circuit",Florida,Hendry County,https://www.flsenate.gov/Laws/Statutes/2025/26.021,"Fla. Stat. 26.021(20): the twentieth circuit is Charlotte, Collier, Glades, Hendry and Lee counties"
"Office of the State Attorney, 20th Judicial Circuit",Florida,Lee County,https://www.flsenate.gov/Laws/Statutes/2025/26.021,"Fla. Stat. 26.021(20): the twentieth circuit is Charlotte, Collier, Glades, Hendry and Lee counties"
Northern Judicial Circuit Probation Office,Georgia,Elbert County,https://law.justia.com/codes/georgia/title-15/chapter-6/article-1/section-15-6-1/,"Ga. Code 15-6-1: the Northern Judicial Circuit is Elbert, Franklin, Hart, Madison and Oglethorpe counties"
Northern Judicial Circuit Probation Office,Georgia,Franklin County,https://law.justia.com/codes/georgia/title-15/chapter-6/article-1/section-15-6-1/,"Ga. Code 15-6-1: the Northern Judicial Circuit is Elbert, Franklin, Hart, Madison and Oglethorpe counties"
Northern Judicial Circuit Probation Office,Georgia,Hart County,https://law.justia.com/codes/georgia/title-15/chapter-6/article-1/section-15-6-1/,"Ga. Code 15-6-1: the Northern Judicial Circuit is Elbert, Franklin, Hart, Madison and Oglethorpe counties"
Northern Judicial Circuit Probation Office,Georgia,Madison County,https://law.justia.com/codes/georgia/title-15/chapter-6/article-1/section-15-6-1/,"Ga. Code 15-6-1: the Northern Judicial Circuit is Elbert, Franklin, Hart, Madison and Oglethorpe counties"
Northern Judicial Circuit Probation Office,Georgia,Oglethorpe County,https://law.justia.com/codes/georgia/title-15/chapter-6/article-1/section-15-6-1/,"Ga. Code 15-6-1: the Northern Judicial Circuit is Elbert, Franklin, Hart, Madison and Oglethorpe counties"
Office of The District Attorney - Eighth District,Oklahoma,Kay County,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=68738,"20 O.S. 92.9: Judicial District 8 is Noble and Kay counties; 19 O.S. 215.1 makes District Attorney District 8 coextensive with it"
Office of The District Attorney - Eighth District,Oklahoma,Noble County,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=68738,"20 O.S. 92.9: Judicial District 8 is Noble and Kay counties; 19 O.S. 215.1 makes District Attorney District 8 coextensive with it"
23rd Judicial District Attorney's Office,Tennessee,Cheatham County,https://law.justia.com/codes/tennessee/title-16/chapter-2/part-5/section-16-2-506/,"Tenn. Code 16-2-506: the twenty-third judicial district is Cheatham, Dickson, Houston, Humphreys and Stewart counties"
23rd Judicial District Attorney's Office,Tennessee,Dickson County,https://law.justia.com/codes/tennessee/title-16/chapter-2/part-5/section-16-2-506/,"Tenn. Code 16-2-506: the twenty-third judicial district is Cheatham, Dickson, Houston, Humphreys and Stewart counties"
23rd Judicial District Attorney's Office,Tennessee,Houston County,https://law.justia.com/codes/tennessee/title-16/chapter-2/part-5/section-16-2-506/,"Tenn. Code 16-2-506: the twenty-third judicial district is Cheatham, Dickson, Houston, Humphreys and Stewart counties"
23rd Judicial District Attorney's Office,Tennessee,Humphreys County,https://law.justia.com/codes/tennessee/title-16/chapter-2/part-5/section-16-2-506/,"Tenn. Code 16-2-506: the twenty-third judicial district is Cheatham, Dickson, Houston, Humphreys and Stewart counties"
23rd Judicial District Attorney's Office,Tennessee,Stewart County,https://law.justia.com/codes/tennessee/title-16/chapter-2/part-5/section-16-2-506/,"Tenn. Code 16-2-506: the twenty-third judicial district is Cheatham, Dickson, Houston, Humphreys and Stewart counties"
32nd Judicial District Attorney's Office,Texas,Fisher County,https://statutes.capitol.texas.gov/Docs/GV/htm/GV.24.htm#24.134,"Tex. Gov't Code 24.134: the 32nd Judicial District is Fisher, Mitchell and Nolan counties"
32nd Judicial District Attorney's Office,Texas,Mitchell County,https://statutes.capitol.texas.gov/Docs/GV/htm/GV.24.htm#24.134,"Tex. Gov't Code 24.134: the 32nd Judicial District is Fisher, Mitchell and Nolan counties"
32nd Judicial District Attorney's Office,Texas,Nolan County,https://statutes.capitol.texas.gov/Docs/GV/htm/GV.24.htm#24.134,"Tex. Gov't Code 24.134: the 32nd Judicial District is Fisher, Mitchell and Nolan counties"
Okmulgee County District Attorney's Office,Oklahoma,Okmulgee County,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=67562,19 O.S. 215.1: Okmulgee and McIntosh counties are District Attorney's District 25
Okmulgee County District Attorney's Office,Oklahoma,McIntosh County,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=67562,19 O.S. 215.1: Okmulgee and McIntosh counties are District Attorney's District 25
