page,text,ori_tokens
347,GOULD MAYOR'S COURT LINCOLN ARO40011J HOT SPRINGS JUVENILE DETENTION HALL GARLAND ARO26013C,ARO40011J;DETENTION;ARO26013C
347,|] CORRECTIONS HOT SPRINGS PROSECUTING ATTORNEY GARLAND ARO26015A,ARO26015A
348,LITTLE ROCK PENAL FARM PULASK! AR060013C MENA MUNICIPAL COURT POLK ARO57011J,AR060013C;MUNICIPAL;ARO57011J
349,|] CORRECTIONS SILOAM SPRINGS MUNICIPAL COURT BENTON AR004031J,MUNICIPAL;AR004031J
350,TUCKER STATE PENITENTIARY JEFFERSON _ARO35015C WHITE HALL MAYOR'S COURT JEFFERSON = AROG5021J,JEFFERSON;JEFFERSON;AROG5021J
351,AZUSA DETENTION CAMP 14 LOS ANGELES — CA019103C BRAWLEY WESTMORLAND GITY ATTORNEY IMPERIAL CA013061A,DETENTION;CA019103C;CA013061A
351,BAKERSFIELD DISTRICT ATTORNEY KERN CA015013A BURLINGAME FEDERAL PRISON SERVICE SAN MATEO CA041017C,CA015013A;CA041017C
351,BAKERSFIELD SUPERIOR COURT KERN CAQT5013J CALABASAS DETENTION CAMP 16 LOS ANGELES CA019123C,CAQT5013J;CALABASAS;DETENTION;CA019123C
352,CHINO INSTITUTION FOR MEN SAN BERNARDI. CA036015C CRESCENT CITY JUVENILE DETENTION HALL DEL NORTE CA008013C,CA036015C;DETENTION;CA008013C
353,CORRECTIONSSPECIAL FREMONT MUNICIPAL COURT ALAMEDA CA001073J,MUNICIPAL;CA001073J
354,HANFORD JUSTICE COURT KINGS CA016033J LA CANADA DETENTION CAMP 18 LOS ANGELES —CA019143C,CA016033J;DETENTION;CA019143C
355,LOMPOC FEDERAL CORRECTIONAL SANTA BARBARA CA042017C LOS ANGELES VINEWOOD CENTER LOS ANGELES CA019015C,CA042017C;CA019015C
355,LOMPOC FEDERAL PRISON CAMP SANTA BARBARA CA042027C LOS ANGELES WOMENS’ BOARD OF TERMS LOS ANGELES CA019015G,CA042027C;CA019015G
355,LOS ANGELES CITY HALL MEDICAL EXAMINER LOS ANGELES CA019019M MALIBU DETENTION CAMP 13 LOS ANGELES —CA019093,CA019019M;DETENTION
356,MILPITAS MEN'S DETENTION FACILITY SANTA CLARA CA043033C OAKLAND COUNTY COUNSEL ALAMEDA CA001023A,DETENTION;CA043033C;CA001023A
356,MILPITAS WOMEN’S DETENTIONN FACILITY SANTA CLARA CA043023C OAKLAND COUNTY JAIL ALAMEDA CA001023C,CA043023C;CA001023C
357,PLEASANTON FEDERAL YOUTH CENTER N/A CA001027C REPRESA STATE PRISON AT FOLSOM SACRAMENTO —- CA034015C,CA001027C;CA034015C
358,SALINAS COUNTY DETENTION CAMP MONTEREY cAa027043C SAN DIEGO DISTRICT ATTORNEY SAN DIEGO caoa7023a,DETENTION;CAOA7023A
358,SALINAS COUNTY PAROLE BOARD MONTEREY CA027023G CORRECTIONALCENTER,CA027023G
358,SALINAS DISTRICT ATTORNEY MONTEREY CA027013A CORRECTIONALCENTER (MALE),CA027013A
359,» SAN JOSE COUNTY PROBATION SANTA CLARA —CA043013G SAN QUENTIN STATE PRISON MARIN CA021015C,PROBATION;CA043013G;CA021015C
360,SANTA BARBARA COUNTY PAROLE BOARD SANTA BARBARA CA042023G SOLEDAD CORRECTIONAL TRAINING MONTEREY CA027015C,CA042023G;CA027015C
360,SAUGUS DETENTION CAMP 11 LOS ANGELES CA019073C SUSANVILLE DISTRICT ATTORNEY LASSEN CADTBO13A,DETENTION;CA019073C;CADTBO13A
360,SAUGUS DETENTION CAMP 12 LOS ANGELES — CA019083C SUSANVILLE SUPERIOR COURT LASSEN CA018013J,DETENTION;CA019083C;CA018013J
360,SAUGUS DETENTION CAMP 17 LOS ANGELES CA019193C SUSANVILLE U. S. MAGISTRATE LASSEN CA018017J,DETENTION;CA019193C;CA018017J
360,PARK TEHACHAPI CORRECTIONAL INSTITUTION KERN CA015015C,TEHACHAPI;CA015015C
360,SNELLING JUSTICE COURT MERCED CA0240934 TERMINAL ISLAND FEDERAL CORRECTIONAL LOS ANGELES CA019017C,CA0240934;CA019017C
361,TERMINAL ISLAND FEDERAL CORRECTIONAL LOS ANGELES — CA019037C VICTORVILLE MUNICIPAL COURT SAN BERNARDI CA036053J,CA019037C;MUNICIPAL;CA036053J
361,TUJUNGA DETENTION CAMP 15 LOS ANGELES — CA019119C WASCO CITY ATTORNEY KERN CADISOS1A,DETENTION;CA019119C;CADISOS1A
361,|] VENTURA LOMA HALL VENTURA CA056043C WOODLAND COUNTY PRISON FARM YOLO CA0570236,CA056043C;CA0570236
363,CANON CITY COLORADO STATE PENITENTIA FREMONT c0022035C DEL NORTE 12TH DISTRICT COURT RIO GRANDE == C0053015J,C0022035C;C0053015J
363,CORRECTIONAL INSTITUTION DENVER CITY JAIL DENVER CO01601 16,
364,PROBATIONCENTER GRAND JUNCTION WESTERN SLOPE DETENTION MESA 0039015C,DETENTION
364,ENGLEWOOD JUVENILE DETENTION FACILITY ARAPOHOE €0003015C GRAND JUNCTION 91ST DISTRICT COURT MESA [00290184,ENGLEWOOD;DETENTION
365,LAS ANIMAS MUNICIPAL COURT BENT 0006011 DETENTIONCENTER,MUNICIPAL
367,BRIDGEPORT JUVENILE COURT FAIRFIELD CT001095J HADDAM STATE CORRECTIONAL CENTER MIDDLESEX CT004015C,FAIRFIELD;CT001095J;MIDDLESEX;CT004015C
367,BRIDGEPORT STATE CORRECTIONAL CENTER FAIRFIELD CT001015C HARTFORD BOARD OF PAROLE HARTFORD CT002015G,FAIRFIELD;CT001015C;CT002015G
367,» BROOKLYN STATE CORRECTIONAL CENTER WINDHAM CTOOBOISC HARTFORD PROSECUTING ATTORNEY HARTFORD —»-CTOO2055AA,CTOOBOISC
367,BURLINGTON PROBATE COURT HARTFORD C1002295J HARTFORD STATE CORRECTIONAL CENTER HARTFORD cT002025C,C1002295J;CT002025C
367,CANAAN PROBATE COURT LITCHFIELD CT003185J HARTFORD STATE DETENTION HOME HARTFORD cT002045C,CT003185J;DETENTION;CT002045C
367,COLCHESTER PROBATE COURT NEW LONDON =—-CT006145J HAZARDVILLE STATE PRISON OSBORN HARTFORD €T002015C,CT006145J
367,DANBURY FEDERAL CORRECTIONAL FAIRFIELD cT001017C KILLINGWORTH PROBATE COURT NEW HAVEN —s-CT005115U,FAIRFIELD;CT001017C;CT005115U
367,DANBURY STATE CORRECTIONAL CENTER FAIRFIELD C€T001025C LITCHFIELD PROBATE COURT LITCHFIELD CT003165J,FAIRFIELD;CT003165J
367,DANBURY SUPERIOR COURT FAIRFIELD CT001285J LITCHFIELD STATE CORRECTIONAL CENTER LITCHFIELD CT003015C,FAIRFIELD;CT001285J;CT003015C
368,MONTVILLE STATE CORRECTIONAL CENTER NEW LONDON CT006025C RIDGEFIELD PROBATE COURT FAIRFIELD CT001175J,MONTVILLE;CT006025C;FAIRFIELD;CT001175J
368,NEW HAVEN STATE CORRECTIONAL CENTER NEW HAVEN CT005025C SIMSBURY PROBATE COURT HARTFORD CT002135J,CT005025C;CT002135J
368,NEW HAVEN STATE DETENTION HOME NEW HAVEN CT005045C SOMERS PROBATE COURT TOLLAND CT007065J,DETENTION;CT005045C;CT007065J
368,NEW HAVEN STATE'S ATTORNEY NEW HAVEN CTOOSO25A SOMERS STATE PRISON TOLLAND CTe07015C,CTOOSO25A;CTE07015C
368,NIANTIC CONNECTICUT CORRECTIONAL NEW LONDON — CTO06015C THOMPSON PROBATE COURT WINDHAM CT008115J,CTO06015C;CT008115J
368,NORTH BRANFORD PROBATE COURT NEW HAVEN CT005195J TOLLAND STATE CORRECTIONAL CENTER TOLLAND cT007025¢,CT005195J
370,CLAYMONT STATE CORRECTIONAL NEW CASTLE DE002025C SEAFORD JUSTICE COURT 4 SUSSEX DE0O3073J,DE002025C;DE0O3073J
370,CLAYMONT WOODS HAVEN KRUSE SCHOOL NEW CASTLE DE002085C CORRECTIONSBUREAU OF,DE002085C
370,FOR GIRLS ADULT CORRECTIO,CORRECTIO
370,DOVER ATTORNEY GENERAL KENT DEQ01015A SMYRNA STATE CORRECTIONAL NEW CASTLE DE002015C,DEQ01015A;DE002015C
370,DISTRICT 2 WILMINGTON BRIDGE HOUSE DETENTION FOR NEWCASTLE DE002095C,DETENTION;NEWCASTLE;DE002095C
370,DOVER STATE CORRECTIONAL KENT DE001015C WILMINGTON CHIEF MEDICAL EXAMINER NEW CASTLE DE002015M,DE001015C;DE002015M
370,GEORGETOWN COUNTY REGISTER'S COURT SUSSEX DE003023J CORRECTIONSJUVENILE,DE003023J
370,GEORGETOWN JUSTICE COURT 3 SUSSEX DE003063J CORRECTIONS,DE003063J
370,GEORGETOWN STATE CORRECTIONAL SUSSEX DE003015C WILMINGTON JUSTICE COURT 10 NEW CASTLE —_ DE0O2053J,DE003015C;DE0O2053J
371,"LORTON, VA D. C, CORRECTIONAL COMPLEX N/A DC001051C DEPT",DC001051C
371,"WASHINGTON, D.C. BUR OF PRISONS. N/A pc0010176 WASHINGTON, D.C. —_U. S. PROBATION OFFICE N/A 1C001017G",PC0010176;PROBATION;1C001017G
372,APALACHICOLA COUNTY ATTORNEY'S OFFICE FRANKLIN FLO19023A BELLE GLADE GLADES CORRECTIONAL PALM BEACH —FLO50015C,FLO19023A;FLO50015C
372,ARCADIA STATE CORRECTIONAL DE SOTO FLO14015C OFFICE,FLO14015C
372,AVON PARK STATE CORRECTIONAL HIGHLANDS FLO28015C BONIFAY COUNTY JUVENILE PROBATION HOLMES FL030013G,HIGHLANDS;FLO28015C;PROBATION;FL030013G
373,BROOKSVILLE DIVISION OF CORRECTIONS © HERNANDO FLO27013C CLEARWATER STATE ATTORNEY'S OFFICE PINELLAS FLOS2015A,FLO27013C;FLOS2015A
373,BUSHNELL STATE CORRECTIONAL SUMTER FLOG001SC COTTONDALE MUNICIPAL COURT JACKSON FLO3201 4,FLOG001SC;MUNICIPAL
373,CHATTAHOOCHEE APALACHEE CORRECTIONAL GADSDEN FLO20015C DISTRICT 19,APALACHEE;FLO20015C
374,CROSS CITY COUNTY PROSECUTOR'S OFFICE DIXIE FLO1S019A DELANO COUNTY PRISON FARM VOLUSIA FLOB4013C,FLO1S019A;FLOB4013C
374,DAYTONA BEACH COUNTY PROSECUTOR'S VOLUSIA FLO64013A EGLIN AFB FEDERAL PRISON CAMP OKALOOSA FLO46017C,FLO64013A;FLO46017C
375,FORT MYERS COUNTY DETENTION HOME LEE FLO36013C GAINESVILLE CITY PROSECUTOR'S OFFICE ALACHUA FLOOIO21A,DETENTION;FLO36013C;FLOOIO21A
375,FORT MYERS COUNTY JUVENILE PROBATION LEE FLO36019G GAINESVILLE COUNTY DETENTION CENTER ALACHUA FL001023C,PROBATION;FLO36019G;DETENTION;FL001023C
375,FORT PIERCE COUNTY COURT ST. LUCIE F.056013) GAINESVILLE SANTE FE CORRECTIONAL ALACHUA FLO01015C,FLO01015C
375,FORT PIERCE COUNTY DETENTION HOME ST. LUCIE FLO56013C GAINESVILLE a,DETENTION;FLO56013C
376,IMMOKALEE COUNTY CRIMINAL COURT COLLIER FLO11043J JASPER COUNTY PRISON HAMILTON FLO24013C,IMMOKALEE;FLO11043J;FLO24013C
376,INVERNESS COUNTY JUDGES COURT CITRUS 10090334 KEY WEST COUNTY DETENTION HOME MONROE FL044023C,INVERNESS;DETENTION;FL044023C
376,DETENTIONDEPARTMENT COUNTY JUVENILE COURT,
376,JACKSONVILLE CITY PRISON FARM DUVAL FLO16021C KEY WEST U. S. DISTRICT COURT MONROE FLO44017J,FLO16021C;FLO44017J
376,JACKSONVILLE COUNTY PRISON FARM DUVAL FLO16031C KISSIMMEE COUNTY JUVENILE PROBATION OSCEOLA FL049013G,FLO16031C;KISSIMMEE;PROBATION;FL049013G
377,LAKE BUTLER COUNTY PROSECUTOR'S OFFICE UNION FLO63013A LOWELL STATE CORRECTIONAL MARION £1042015C,FLO63013A
377,LAKE CITY COUNTY DETENTION CENTER COLUMBIA FLO120130 MACCLENNY COUNTY JUDGE'S COURT BAKER 10020134,DETENTION;FLO120130;MACCLENNY
377,SUB-OFFICE MARIANNA COUNTY PRISON CAMP JACKSON FLO32013C,FLO32013C
378,MIAMI COUNTY CORRECTIONS AND DADE FLO13013C MILTON STATE ATTORNEY'S BRANCH = SANTA ROSA _—FLOS7105A,FLO13013C;FLOS7105A
378,MIAMI FEDERAL CORRECTIONAL N/A FLOIIOITG MOORE HAVEN COUNTY JUDGE'S COURT GLADES FLO22013J,FLOIIOITG;FLO22013J
379,NORTH BAY VILLAGE CITY COURT DADE FLOW3111J ORLANDO CITY PRISON FARM ORANGE FLO48011C,FLOW3111J;FLO48011C
379,OFFICE ORLANDO COUNTY DETENTION HOME ORANGE FLO48023C,DETENTION;FLO48023C
379,OAKLAND PARK CITY PROSECUTOR'S OFFICE BROWARD FLOO6091A ORLANDO COUNTY PRISON FARM ORANGE FLO48013C,FLOO6091A;FLO48013C
380,PANAMA CITY COUNTY DETENTION HOME BAY FLO03013C PLANT CITY STATE ATTORNEY'S BRANCH HILLSBOROUGH —FL029105A,DETENTION;FLO03013C;FL029105A
380,PENSACOLA COUNTY PRISON ESCAMBIA FLO17013C PUNTA GORDA PO OUNTY JOVEN COURT CHARLOTTE FLO08019G,PENSACOLA;FLO17013C;CHARLOTTE;FLO08019G
381,RAIFORD STATE PRISON UNION FLOB3015C SOUTH DAYTONA CITY ATTORNEY'S OFFICE VOLUSIA FLOGSIO1A,FLOB3015C;FLOGSIO1A
381,SARASOTA COUNTY SMALL CLAIMS COURT SARASOTA FLOS8033J ST. PETERSBURG COUNTY JUVENILE DETENTION PINELLAS FLO52013C,FLOS8033J;DETENTION;FLO52013C
381,SARASOTA DEPARTMENT OF AFTERCARE - SARASOTA FLO58015G ST. PETERSBURG COUNTY JUVENILE DETENTION PINELLAS FL062013G,AFTERCARE;FLO58015G;DETENTION;FL062013G
381,SEBRING JUVENILE DETENTION CENTER — HIGHLANDS FLO28013C OFFICE NO. 4,DETENTION;HIGHLANDS;FLO28013C
382,DISTRICT 47 TAMPA COUNTY PRISON HILLSBOROUGH FL029013C,FL029013C
382,TALLAHASSEE COUNTY JUVENILE DETENTION LEON FLO37013¢ TAMPA U. & ATTORNEY HRLSBOROUGH F.020017A,DETENTION
382,TALLAHASSEE oeesaus. CORRECTION ROAD LEON FLOS7015C TARPON SPRINGS MUNICIPAL COURT PINELLAS FLOS2151J,FLOS7015C;MUNICIPAL;FLOS2151J
382,TALLAHASSEE FEDERAL CORRECTIONAL LEON FLO37017C TAVARES COUNTY JUDGE'S COURT LAKE FLossoa3J,FLO37017C;FLOSSOA3J
382,TALLAHASSEE STATE DIVISION OF CORRECT LEON FLO37105C TAVARES STH CIRCUIT COURT LAKE FLO38015J,FLO37105C;FLO38015J
383,TITUSVILLE U. S. MAGISTRATE BREVARD FLOOSO17) WEST PALM BEACH COUNTY DETENTION HOME FOR ST. JOHNS FLOSS043C>,DETENTION;FLOSS043C
383,VENICE MUNICIPAL COURT SARASOTA FL0580214 WEST PALM BEACH — SABAL PALM DETENTION HOME PALM BEACH — FL050033C,MUNICIPAL;FL0580214;DETENTION;FL050033C
384,AMERICUS CIVIL AND CRIMINAL COURT SUMTER GA129013) ATLANTA FEDERAL PRISON SERVICE FULTON Gansoog7C,GANSOOG7C
384,AMERICUS DISTRICT ATTORNEY SUMTER GA1290154 ATLANTA PRISON FARM FULTON GA0S0021C,GA1290154;GA0S0021C
385,ATLANTA U.S. PENITENTIARY FULTON GA060017C BAXLEY CITY ATTORNEY'S OFFICE APPLING GA00101 1A,GA060017C
385,AUGUSTA COUNTY CORRECTIONAL INST! RICHMOND GA121033C BLACKSHEAR CITY ATTORNEY'S OFFICE PIERCE GA11301 1A,GA121033C
385,BAINBRIDGE PRISON BRANCH DEKALB GA044015C BRUNSWICK COUNTY JUVENILE COURT GLYNN GA0G3013J,GA044015C;BRUNSWICK;GA0G3013J
387,DETENTIONHOME CUMMING PROBATION DEPARTMENT FORSYTH GAO58015G,PROBATION;GAO58015G
388,CUSSETA COUNTY PROBATE COURT CHATTAHOO- —«GA026013J DECATUR COUNTY DETENTION HOME DEKALB GA044028¢,CHATTAHOO;GA026013J;DETENTION
388,DAWSON COUNTY CORRECTIONAL TERRELL GA135013C DUBLIN COUNTY JUVENILE COURT LAURENS GA0870234,GA135013C;GA0870234
389,EATONTON COUNTY CORRECTIONAL PUTNAM GA117013C FOLKSTON COUNTY JUVENILE COURT CHARLTON GA0240230,GA117013C;GA0240230
390,GAINESVILLE REGIONAL DETENTION CENTER HALL GA069015C HAMILTON COUNTY JUVENILE COURT HARRIS «no720081,DETENTION;GA069015C
