page,text
1,a ea = eet gee wel usage sy ae . : - = rae a eee eae Gem aE
1,"a oS oe ee, eae ope on . Bye gee ee . eee"
1,: ae . oe Salad ae ae oe eee) Be eae ae dase ee ‘See PRB cc gel gat &
1,"a a eee eS Ee eee, ee ie we se ee sg a ML i acl"
1,af a . ee iro bir: Gee geal gp a ae ee ee babe Hd ma I eg
1,eRe ee [eb eee 8 oe Se eee Oe ee a ee Koa oe creer ee ee . ee of ee
1,ae ee oe ee eee ee gee ee i ee | 88 eee ee Sb eee
1,| Cee ee aoe rer be py Loree a ee ee : ee ee Tes.
1,ee : e wey EE aa Sigg ee : ‘gid ee ener te fe: poets ad oe
1,oe Se ee i ee : ee eee a ae ee) eee & Sy ealaecaiat
1,. oo a ee oe ee oe ie eta Es Si eee Pees | Leet
1,eee ene Be Ao ea > ee & oe eo i ee He ee Bo ee ee
1,a oF — _ oe elite ee eee a a BO cae gh
1,Se Fea Bee i Bugera eee ee oe a a - : cs Bratt
1,Bae: Fare os ee oe ee a Pe ae oe gene oe ee
1,po Parr) pate ee ge Bi So ee EE 8 ee cA al Saba ee oe ce eo : ne
1,- Py Be CS a oe | ae ee ee ee : eae Be jt.
1,: nee Bee ee a Bea rarer oe a - OO ales ae
1,eee | itae ae eee Ee eee eo by eee i aan tad eos aoe of :
1,ee Hoa ee eee let PO doh wae ce ee — oe Ao ie
1,"2 poe OE Barge cr ce ee ae age ae ae ate gel Bae ta Ue Be . a a ao i Ss Pe , he"
1,a eid ae ce eee vraag ie ee ee oe Ee SE :
1,a : : : oe ee eae eigaitie @ Bee AE vg ih age é ie Hag SE bees rc ae z: ee SLAY:
1,bo | a ee oe eae Pee ce ae ne
1,mB ue Se eae ee eee So SS : ) ae
1,Oe eS lL. oe : coe —_ :
1,ee ee oe a . - s ae
1,7 E ee AE aes ee cles. . ae ee aug 8 . LS . Doe ee fe
1,"| : , : a e pds & : : oS . Py : is A : 2 e ae sees oe ha a a ae"
1,: | : : : ee os hee s i Pee a a Rigwnite oat ; ei =
1,"2 ie , fala laa Pema as ne ""ade agers i : i a"
1,"oe “ oe a ae — noe egg te a 2 e ce oe. # rae ae, at, aoe a"
1,a coe a ae Chee — “ = ‘Hele
1,"Pee ge is ee eee eee Fe: Ee, oa =e a"
1,‘pe ge #8 Pap ig ea Bote OE eg carom Be ges ee 1 : = at
1,ees ie ae ee ol ee a ; : vi
1,"Pad at : : a apy Ee edo faite ai ee wd , ie ae"
1,Ph ars Same OB ge a re ge ae atest lt ee i oe aes a oe
1,Oe ee eee 2 Es Be 2 ies ON ERS Tali ee ee eT : : : / oa ae
1,; oe 1 gene Ae eee es hou aan ta a das Se hi ee ere je col ot Woahoos
1,oe “Ms oS OPS PORE oie othe: co : oe gee
1,. He ed ee Fuekyde © aga - neat nice oe
1,"ae ee : : BIS ls Bi ite RE A ede ae aie ie ae gg segue Ua """
1,ees ee 3 as oe : oa na
1,ee ree A So einstaiieaa 2 ep 4 ar ae ee Ch ee oe ae
1,ee Pers ae he ee a Tend fe _ ae pe
1,1s Le pee : im aint meee dh we Ee ee I: ee ne :
1,: : an tee # : ee ee ia es ae pn % Pe ane fas Yee ee foo Eee ed ae Boog ee
1,| a ae aS ge ie i cE o i so 8 a ee Pee el © 2 a 3 s : a
1,ie = : : — ianesienteeenianestons ~ - rans 9 3 a : ] 2. fy : a : ° ‘ 2 : & : | |
1,= See eee Cs eke Zl a : a S com 3 e = ae Pagan ee
1,a 2 2 bbe. # Po. : x aid | ott
1,Lp ee gs - ee i se fo Ee aM ‘e age ‘ Ee i al cts: u . anit . ee cae: =
1,oe rs ee pia ee Bae seek ee ae a oe Cae © See irre we hoeery eos ae on :
1,"bie, 2 ee eee Wee ee apo i aa ae se pose oar . '"
1,Po ee see aes RE ig ra gel ge” ae errs og 918 a : eae :
1,; —— fg me ah fie Spaciann: veo oe coe
1,ene ae Pe es soa id si mane are et eons
1,Pigs ek es afer ifs # ig a ty Be i ae . es we Rasen ees i
1,=e ee pe ae Bi Bg 8B BBE Sings eS Se ge ABE S sree’ Sai ds fos Ba 8 %
1,Rw ae gf Salk ag a eect a i Ba AB See E Bo BB Be Se es
1,BB PE ae hae ge Re ge 8 es e - =. Se = = :
1,Boo PES at fag ae SS hit é in Beet Boe as oe : a c
1,Hic Sissi. i RS a ae gat : Hed oe pe ere ae _ : :
1,a dear ae EE # ta i 2 BS ee i i age A Bis WB Seven en cb : oy { :
1,Boe ies Boad @ od : Senos A ‘ —. - .
1,"Pos ee : Ee"" ee Poets 5 1s SR, i ve sia cr RR € 2 % . ete ae #"
1,BOB Hei: Hs oe ee a ee ee Bie se. Cee eee : ‘ tka q 7 —
1,"ae i 2, ee See fai Reis bios Shes ee we oe a ez ss : :"
1,: —- 7 oc oe. a ek z Petre eee ce we ae ee ne a Bs 7 es
1,ce eee See. oe Son : i ee gece at eae Pues Re 4 3 sien ge ad
1,ee Tike Te — PTL E eee ae ee ee bee rae . SLA CCe ee oe ee E es Be oo cia Dye Neo p foe .
1,oe mee de ee ee he 8 ee 4 B® Re re é z sf
1,"a re fae ek HOE gs gees a % i , af Fae BH BoB oe ae at ee ee oN Ae"
1,a -e 4 eee pe ae A Be BE fee iy ee tay i
1,BE GB «ee ged ags get a BB SU ae se th z ar ee Ea aes :
1,so oe eee egy hs ee Ee ata ee A 3 i #8
1,a Fe tee Bee ee Be PB a 2 : Cee ate ede Py Be
1,i Pa a Se BE 5 af BH 1 Rs nae ne a RE BB: PRE SRB ee Bos. HE
1,= = se a de Cede Pe 6 es a ae ee aa i ; nee 3
1,"HS Be Bids ab, Pe as ee s iat da fi a Bin @ SE Se ip eb ie ea? fe . # isk"
1,Be Bs Re ee ee So Bs ost a fo i he
1,nee es ee fe. cai cdB Sant Bea Se ete Sageiaeae BB BS oe
1,ss ee ees oe a : be catia ao gio Lo
1,ee ee rr oe esse seek eee ee ee pe
1,oA ee ae ae Ee: foe cot = ee et eee BGs ee
1,"pot ae LS ‘ wy ging, i ae . ee i ee oe eae: ost Boge"
1,ee fed oe Be hall eggs ee | ee oe
1,eee oo eer eee i ce ee Fe ee Soe ee ss Bio Be See © 8 22%: ne ’
1,Pee : oo gig. | Peace eee 2 : i eee Se : =
1,~* Department of Ju lineddiiga ee nn
1,"ae, ee gs ee 2 ‘ee ae 3 Se SE, Msg ith vee Be Ge, ee pealat"
1,ae ge of Se ee ee t a : | ta i Be Be the pe ee eg ee / o.
1,‘Linn Enforcement Accietanbe eR 2 Sa ae
1,oe 7 Ec Oo y Oe = SE pec Bh a ae igs e coh he eae Boh See Le — af
1,| Z ae ee . - : Oe BES ye pie SR ERE: ei de oe Cee
1,# eee ee ee ee cs ae Sage : ee 2 aE dh Si ae SH es :
1,2 Se ye ae : el si & tee rd aek ok Fe eae Be Be
1,ee ee ue a aa ee : ee Bee Be ie th s
1,— i Bier Bid BE i : a ee ae eo
1,eT cde oe eel Mel oo Hie: Bh 2 : Be ee oo ;
1,ag gS thee 2. ee ee ees H os B Boog! Be cis i S ae OEE SE ge ee es : 2
1,"BE Soe SE BEBE ae He Be Hay is, Bi fu BB ge Let B20 Be Be eee ee Bs"
1,"ae oes ee ee is eh His Pa Bi, Bie A ge"
1,af eo hace BS : : od
1,oe ee ee oe ee he
2,»
2,@ NATIONAL LAW ENFORCEMENT
2,This directory was printed under Law Enforcement Assistance Administration
2,grant #75-SS-99-6018. Although due care was exercised in the compilation
2,"and data processing of this directory, neither the Law Enforcement Assistance"
2,Administration nor its contractors assume responsibility for the completeness
2,and accuracy of the data contained herein.
2,U. S. Department of Justice NCJRS
2,@ Law Enforcement Assistance Administration
2,"Washington, D.C. 20531 MAR 4 1981"
2,ACQUISITIONS
3,eo This directory has been prepared to provide users of the National Law
3,Enforcement. Telecommunications System (NLETS) with an organized and
3,cross-referenced list of criminal justice agency addresses using the
3,Federal Bureau of Investigation's ORI's. It is the culmination of a
3,four year LEAA supported effort to improve interstate telecommunications
3,for criminal justice.
3,"During the period from 1973-1977, the NLETS network has evolved from an"
3,"overburdened, low-speed teletype system to a high-speed, fully automated"
3,message routing system serving law enforcement agencies in the fifty
3,states. Excellent service is now available to NLETS users at a reasonable
3,cost. ;
3,© The preparation and publication of this directory is a continuation of
3,". the overall effort to provide service to NLETS users, and will serve as"
3,"an easy to use reference listing of the addresses of local, state and"
3,Federal criminal justice agencies in the U.S. and Canada which have
3,access to or are accessible through the NLETS network.
3,LEAA would like to express its appreciation to the Federal Bureau of
3,"Investigation for their cooperation, and especially for their willingness"
3,"to provide the NCIC magnetic tapes of ORI addresses, without which the"
3,publication of this document could not have taken place.
3,®
4,A. PURPOSE
4,NLETS is a nationwide message switching system created to provide
4,for the interstate exchange of criminal justice and criminal
4,"justice related information. To facilitate this exchange, NLETS"
4,utilizes the Federal Bureau of Investigation (FBI) ORI's as addresses.
4,The principle purpose of this directory is to provide law enforcement
4,and criminal justice users with the ability to easily locate an
4,agency's ORI based on the name and/or location of that agency.
4,© B. CONTENT AND ORGANIZATION
4,"The directory is divided into four parts. Within each subdivision,"
4,agencies have been sequenced to provide maximum usability by the
4,NLETS user.
4,Part I - Law Enforcement Agencies
4,"This section, subdivided by state, is sequenced alphabetically by"
4,"agency name. In addition, agencies are also listed under the city"
4,in which they are located if the city name and the agency name
4,differ. These additional entries are asterisked (*) and indented. .
4,State agencies may be found under both their name as well as the
4,@ ~ location of the agency.
5,Federal agencies in each state may be found at the end of each
5,state's listing. oe
5,Part II - Criminal Justice Agencies
5,"The section, also subdivided by state, is sequenced alphabetically"
5,by location.
5,Part III - Federal Agencies
5,This section is arranged alphabetically by federal agency name.
5,"Within each agency, the entries are sequenced alphabetically by"
5,location.
5,Part IV - Canadian Agencies @
5,This section is arranged alphabetically by province. Within each
5,"province, the entries are sequenced alphabetically by location."
5,C. ORI CHANGES
5,"Requests for additions, deletions, or corrections of ORI's should"
5,be coordinated through the NCIC control terminal agency within the
5,users' state.
6,INDEX
6,@ PART I - LAW ENFORCEMENT
6,Page(s)
6,States
6,AL Alabama ..... ccc ccc cece ccc cece eee cecescsccvecl=
6,AK = AlaSka co. ccc ccc cece reece nce cree cn cccccccecscsee led
6,AZ = AVIZONA .. cece cece cw ccc cee cc cece cece cence ees IMG
6,AR = ArkanSaS 2... ccc cece cece cece nsec cece cccvececensel=Tl
6,CA California .... ccc cc ccc ce ccc cece cece cece cece e 1S
6,10 RR OC 0) Ke) ote [0 PD FA
6,CT Connecticut .... ccc ccc ccc cen e ee cee sees cccveree 732
6,DE Delaware ... ccc cece ccc cece cece cece sececcscnse In 34
6,DC District of Columbia .......... cee cece ce eee 18D
6,FL - FIOV Ida wee c ccc we cree cece ceca cc encnenesceen l=?
6,"C7 C= 0) ox, TC)"
6,HT = HaWATT coc ccc ccc ccc ccc ccc cece cece ence esc vev ces IDS
6,ID Idaho .... ccc ccc ccc ccc cen c cee ce cece se scsseesee 1756
6,IL ITTinOis 2... ce ccc ccc cee cee ccc c ee ee eee ees 15S
6,IN «Indiana 2... cc. ccc ccc cc cc cece cece cece ev evccect@13
6,TA TOWRA coc cc cece cece cece ere secesccccccvcsccreses I@78
6,KS) —-_ KANSAS Lecce cece wc ce cece tec c cece cece cecseseees 1983
6,KY Kentucky ... ccc cece cece er ere cree cece c ee ccccecee 1288
6,LA Louisiana .... cece ccc cc ccc cece cece cece cece sees 1A 95
6,© ME MAINE Lo. cece cece cee cece cece e sec cccccecccecese AIO]
6,MD Maryland ..ccsececcccecccccsccnccccncesccececees 1104
6,MA Massachusetts ...... ccc ccc ccc cece cece cece eens 1108
6,MI Michigan... cc cece cece cee ccc sc sn cncscccecescesee l= TI4
6,MN Minnesota .... cc ccc cc cee cece ccc eee scccceccesee lt t25
6,MS - MiSSISSTPPT .... cece cece eee e cece cece eee ee ce A133
6,MO = MiSSOULT 2... cece cee cee cc cece cece ccc vcccceces IA 138
6,MT = MONTANA 2... cece cece ccc c cee c reece ccnceveve ee LAIST
6,NB Nebraska 2... ccc cece cc ccc ccc cree cece ccc escees L154
6,NV N@vada .. cc cc eee cece rece cece cece ccc ces cence sce 17158
6,NH New Hampshire .......ccceccccccccccccccesceccess I= 160
6,NJ NOW Jersey ... cece cece cece cece cc cccececeessscces 17163
6,NM New Mexico ...cccccccccccceccccccccasvccccsecsselel/3
6,NY N@W YOrk cece c cece cece ec cc cence cn ccsncesnvcceee lt 176
6,NC North Carolina ...... ccc ccc cece ccc ccc cn ccc ce see e A190
6,ND North Dakota 2... cc ce ccc cc cet ec cee tee te cee eee IAIG7
6,OH QNIO coe ccc ccc cece rece cece ccc eseceecccceece 1200
6,OK Oklahoma 2... cee ec ec ccc cee reece nec e cc cass eeee M216
6,OR Oregon .. oc cece cccccccccc ccc ecccereccvcccscscces tOa7
6,PA = Pennsylvania .....- cece ccc ec an ccccacccesecessees In232
6,RI «Rhode Island .... ccc ccc cc cece ccc cece e cece eens 1H 2D5
6,SC South Carolina 2... cc ccc ccc cee cece cece e ee L257
6,SD South Dakota ..... ccc ccc cc ccc cece cee nececee P26]
6,TN TONNeSSER 2... eee e cece cece cece cc ccccccececece IH267
7,INDEX
7,Page(s) @:
7,STATES
7,TX TOXaS cc cccccccccccccccccccccccccceccsssescessse 2/3
7,UT Utah co.cc ce cc cc cc cc ccc ew cece cece cece nsec enes 12293
7,VT Vermont ccc. ccc ccc ccc ccc cc eect cece tence cee cc ene s OOO)
7,VA Virginia .... ccc cece cece cece cee weer reese ne nces 1A 299
7,WA -WaShington .... cece cree c cece cece eee e ene e nce ses 1-305
7,WV West Virginia .. cece ccc ce cece cece cece eee seese moll
7,WI WISCONSIN 1... cc cc ccc cece cece ccc ccc c eee eee IA S16
7,WY WYOMING 2... cece cee cece cece tee e cece eres eee eesee I aL4
8,LAW ENFORCEMENT AGENCIES ALABAMA
8,S} AGENCY ADDRESS COUNTY OR! AGENCY ADDRESS COUNTY ORI
8,STATE AND LOCAL AGENCIES BAY MINETTE PD BAY MINETTE BALDWIN AL0050100
8,ABBEVILLE PO ABBEVILLE HENRY AL0370100 *SHERIFE’S OFFICE BAY MINETTE BALDWIN AL0050000
8,*SHERIFF’S OFFICE ABBEVILLE HENRY ALO370000 BAYOU LA BATRE PD BAYOU LA BATRE MOBILE AL0020600
8,ADAMSVILLE PD ADAMSVILLE JEFFERSON AL0012200 BEATRICE PD BEATRICE MONROE AL0510300
8,ADDISON PD ADDISON WINSTON AL0670300 BERRY PD BERRY FAYETTE ALO320200
8,ALABAMA ALCOHOLIC BEV MONTGOMERY N/A AL0030400 BESSEMER PD BESSEMER JEFFERSON ALOO10100
8,CNTRL BRO LAW ENFORC DIV BIRMINGHAM PD BIRMINGHAM JEFFERSON AL0010200
8,ALABAMA BOARD OF MONTGOMERY N/A ALKILBYOO “BROWNSVILLE PD BIRMINGHAM JEFFERSON —-ALO011700
8,CORRECTIONS AND *SHERIFF'S OFFICE BIRMINGHAM JEFFERSON AL0010000
8,ALABAMA STATE TROOPERS — ALEXANDER CITY N/A ALAST6200 .
8,tun se woes Avorn man | MBSTE re Sm ka
8,ALABAMA STATE TROOPERS BIRMINGHAM N/A ALASTO100 PD
8,ALABAMA STATE TROOPERS DECATUR N/A ALAST5200 BLOUNTSVILLE PD BLOUNTSVILLE BLOUNT AL0080200
8,ALABAMA STATE TROOPERS — DEMOPOLIS N/A ALAST4800 BOAZ PD BOA MARSHALL aLosooaoo
8,ALABAMA STATE TROOPERS DOTHAN N/A ALAST3800 “SARDIS PD BOAZ ETOWAH aL0310800
8,a a
8,ALABAMA STATE TROOPERS — FLORENCE N/A ALAST4100 BRENT FD BRENT 6186 AL0070200
8,ALABAMA STATE TROOPERS GADSDEN N/A ALAST3100 BREWTON PO BREWTON ESCAMBIA AL0300200
8,"ALABAMA STATE TROOPERS GROVE HILL N/A ALAST1600 ""SHERIFF'S OFFICE BREWTON ESCAMBIA AL0300000"
8,ALABAMA STATE TROOPERS — HAMILTON N/A ALAST4900 BRIDGEPORT PO BRIOGEPORT JACKSON AL0390200
8,BRIGHTON PD BRIGHTON JEFFERSON ALO011800
8,ALABAMA STATE TROOPERS — HUNTSVILLE N/A ALASTA700 BRILLIANT PO BRILLIANT MARION 0490600
8,ALABAMA STATE TROOPERS | MONTGOMERY N/A ALASTO000
8,HEADQUARTERS TERMINAL BROOKSIDE PD BROOKSIDE JEFFERSON AL0012700
8,ALABAMA STATE TROOPERS MONTGOMERY NVA ALASTO300 BROWNSVILLE PD BIRMINGHAM JEFFERSON AL0011700
8,ALABAMA STATE TROOPERS — MOBILE N/A ALASTO200 BRUNDIDGE PD BRUNDIDGE PIKE AL0550200
8,© ALABAMA STATE TROOPERS — OPELIKA N/A ALAST4300 BUTLER PD BUTLER CHOCTAW ALO150100
8,"ALABAMA STATE TROOPERS SELMA N/A ALAST2700 ""SHERIFF'S OFFICE BUTLER CHOCTAW AL0150000"
8,ALABAMA STATE TROOPERS — TUSCALOOSA N/A ALAST6300 CALERA PD CALERA SHELBY AL0590100
8,ALABASTER PD ALABASTER SHELBY ALO590400 CAMDEN PD CAMDEN WILCOX AL0660100
8,ALBERTVILLE PD ALBERTVILLE MARSHALL AL.0500100 “SHERIFF'S OFFICE CAMDEN WILCOX AL0660000
8,ALEXANDER CITY PD ALEXANDER CITY TALLAPOOSA ——AL0620100 CAMP HILL PD CAMP HILL TALLAPOOSA = AL0620300
8,*ALABAMA STATE TROOPERS ALEXANDER CITY N/A ALAST6200 CARBON HILL PD CARBON HILL WALKERS AL0640200
8,ALICEVILLE PD ALICEVILLE PICKENS AL0540100 CARDIFF PD CARDIFF JEFFERSON AL0012800
8,ALTOONA POD ALTOONA ETOWAH AL0310900 CARROLLTON PD CARROLLTON PICKENS AL0540400
8,ANDALUSIA PD ANDALUSIA COVINGTON ALO230100 “SHERIFF'S OFFICE CARROLLTON PICKENS AL0540000
8,*SHERIFE'S OFFICE ANDALUSIA COVINGTON ALO230000 CARRVILLE PD EAST TALLASSEE TALLAPOOSA AL0620400
8,ANDERSON PD ANDERSON LAUDERDALE AL0410300 CASTLEBERRY PD CASTLEBERRY CONECUH AL0210200
8,ANNISTON PD ANNISTON CALHOUN ALO110100 CEDAR BLUFF PD CEDAR BLUFF CHEROKEE AL0130200
8,*HOBSON CITY PD ANNISTON CALHOUN ALO110600 CENTRE PD CENTRE CHEROKEE ALO130100
8,*SHERIFF'S OFFICE ANNISTON CALHOUN ALO110000 “SHERIFF'S OFFICE CENTRE CHEROKEE ALO130000
8,*ALABAMA STATE TROOPERS ANNISTON N/A ALAST1100 CENTREVILLE PD CENTREVILLE BIBB ALO070100
8,ARAB PD ARAB MARSHALL ALO500300 CHATOM PD CHATOM WASHINGTON AL0650300
8,ARDMORE PD ARDMORE LIMESTONE AL0440200 *SHERIFF’S OFFICE CHATOM WASHINGTON AL0650000
8,ARITON PD ARITON DALE AL0260800 CHEROKEE PD CHEROKEE - COLBERT AL0200400
8,ARLEY PD ARLEY WINSTON AL0670400 CHICKASAW PD CHICKASAW MOBILE AL0020300
8,ASHFORD PD ASHFORD HOUSTON AL0380200 CHILDERSBURG PD CHILDERSBURG TALLADEGA AL0610900
8,ASHLAND PD ASHLAND CLAY ALO170100 CITRONELLE PD CITRONELLE MOBILE AL0020400
8,*SHERIFF’S OFFICE ASHLAND CLAY ALO170000 CLANTON PD CLANTON CHILTON ALO140100
8,ASHVILLE PD ASHVILLE SAINT CLAIR ALO580200 “SHERIFF'S OFFICE CLANTON CHILTON ALO140000
8,"""SHERIFF'S OFFICE ASHVILLE RUSSELL ALOSB0A00 CLAYHATCHEE PD DALEVILLE DALE AL0260900"
8,ATHENS PD ATHENS LIMESTONE AL0440100 *SHERIFF'S OFFICE CLAYTON BARBOUR AL0060000
8,*SHERIFF'S OFFICE ATHENS LIMESTONE ALo440000 CLEVELAND PO LEVELAND BLOUNT AL.G080300
8,ATMORE PD ATMORE ESCAMBIA AL0300100 CLIO PD CLIO BARBOUR AL0060300
8,@ ATTALLA PD ATTALLA ETOWAH AL0310100 COFFEE SPRINGS PD COFFEE SPRINGS GENEVA AL0340500
8,AUBURN PD. AUBURN LEE AL0430100 COLLINSVILLE PD COLLINSVILLE DE KALB AL0280200
8,AUBURN UNIVERSITY PD AUBURN LEE AL0430300 COLUMBIA PD COLUMBIA HOUSTON AL0380400
8,AUTAUGAVILLE PD AUTAUGAVILLE AUTAUGA AL0040200 COLUMBIANA PD COLUMBIANA SHELBY AL0590200
8,1-1
8,3-77
9,LAW ENFORCEMENT AGENCIES ALABAMA
9,AGENCY ADDRESS COUNTY ORI AGENCY ADDRESS COUNTY ORI @
9,*SHERIFF'S OFFICE COLUMBIANA SHELBY AL0590000 FORT DEPOSIT PD FORT DEPOSIT LOWNDES ALO450100
9,CORDOVA PD CORDOVA WALKERS AL0640300 FORT PAYNE PD FORT PAYNE DE KALB AL0280100
9,COTTONWOOD PD COTTONWOOD HOUSTON AL0380500 *SHERIFF'S OFFICE FORT PAYNE OE KALB ALO280000
9,COURTLAND PD COURTLAND LAWRENCE AL0420300 FRISCO CITY PD FRISCO CITY MONROE AL0510200
9,CROSSVILLE PD CROSSVILLE DE KALB AL0281000 FULTON PD FULTON CLARKE AL0160400
9,CUBA PD CUBA SUMTER AL0600300 FULTONDALE PD FULTONDALE JEFFERSON AL0011100
9,CULLMAN PD CULLMAN CULLMAN AL0250100 FYFFE PD FYFFE DE KAL8 AL0281100
9,*SHERIFF'S OFFICE CULLMAN CULLMAN ALO250000 *POWELL PD FYFFE DE KALB AL0280500
9,DADEVILLE PD DADEVILLE TALLAPOOSA AL0620200 GADSDEN GADSDEN ETOWAH AL0310200
9,*SHERIFF'S OFFICE DADEVILLE TALLAPOOSA AL0620000 *RAINBOW PD GADSDEN ETOWAH AL0310500
9,DALEVILLE PD DALEVILLE DALE AL0260200 *SHERIFF'S OFFICE GADSDEN ETOWAH ALO310000
9,*CLAYHATCHEE PD DALEVILLE DALE AL0260900 “SOUTHSIDE PD GADSDEN ETOWAH ALO310700
9,*LEVEL PLAINS PD DALEVILLE DALE AL0260300 *ALABAMA STATE TROOPERS GADSDEN N/A ALAST3100
9,DAPHNE PD DAPHNE BALDWIN AL0050800 GANTT PD GANTT COVINGTON AL0230400
9,DAVISTON PD DAVISTON TALLAPOOSA AL0620500 GARDEN CITY PD GARDEN CITY CULLMAN AL0250300
9,DECATUR PD DECATUR MORGAN AL0520100 GARDENDALE PD GARDENDALE JEFFERSON AL0010500
9,*SHERIFF’S OFFICE DECATUR MORGAN AL0520000 GENEVA PD GENEVA GENEVA AL0340100
9,*ALABAMA STATE TROOPERS DECATUR N/A ALAST5200 *SHERIFF’S OFFICE GENEVA GENEVA AL0340000
9,ODEMOPOLIS PD DEMOPOLIS MARENGO AL0480100 GEORGIANA PD GEORGIANA BUTLER AtLO100200
9,*ALABAMA STATE TROOPERS DEMOPOLIS N/A ALAST4800 GERALDINE PD GERALDINE DE KALB AL0280300
9,DORA PD DORA WALKERS AL0640400 GILBERTOWN PD GILBERTOWN CHOCTAW ALO150200
9,DOTHAN PD DOTHAN HOUSTON AL0380100 GLENCOE PD GLENCOE ETOWAH ALO310400
9,"""SHERIFF'S OFFICE DOTHAN HOUSTON AL0380000 GOODWATER PD GOODWATER COOSA AL0220100"
9,*ALABAMA STATE TROOPERS DOTHAN N/A ALAST3800 GORDO PD GORDO PICKENS AL0540200
9,DOUBLE SPRINGS PD DOUBLE SPRINGS WINSTON AL0670100 GORDON PD GORDON HOUSTON AL0380300
9,*SHERIFF'S OFFICE DOUBLE SPRINGS WINSTON ALO670000 GRANT PD GRANT MARSHALL ALO500500
9,DOZIER PD DOZIER CRENSHAW AL0240300 GRAYSVILLE PD GRAYSVILLE JEFFERSON AL0011600
9,DUTTON PD DUTTON JACKSON AL0390600 GREENSBORO PD GREENSBORO HALE ALO360100
9,EAST BREWTON PD EAST BREWTON ESCAMBIA ALO300300 “SHERIFF'S OFFICE GREENSBORO HALE ALO360000
9,*CARRVILLE PD EAST TALLASSEE TALLAPOOSA AL0620400 GREENVILLE PD GREENVILLE BUTLER AL0100100
9,ECLECTIC PD ECLECTIC ELMORE AL0290300 *SHERIFF’S OFFICE GREENVILLE BUTLER ALO100000
9,ELBA PD ELBA COFFEE AL0190100 GROVE HILL PD GROVE HILL CLARKE AL0160300
9,ELKMONT PD ELKMONT LIMESTONE AL0440300 *SHERIFF’'S OFFICE GROVE HILL CLARKE AL0160000
9,ENTERPRISE PD ENTERPRISE COFFEE AL0190200 *ALABAMA STATE TROOPERS GROVE HILL N/A ALAST1600
9,*SHERIFF'S OFFICE ENTERPRISE COFFEE ALO190000 GUIN PD GUIN MARION AL0490300
9,EUFAULA PD EUFAULA BARBOUR ALO060100 GULF SHORES PD GULF SHORES BALDWIN AL0050400
