file,kind,citation,canonical_url,retrieved_from,retrieved,contains
sources/reports/CRS-RL32270_2009-03-11.pdf,government report,"Seghetti, Lisa M., et al. 2009. Enforcing Immigration Law: The Role of State and Local Law Enforcement. CRS Report RL32270. Washington, DC: Congressional Research Service, March 11, 2009. (Two co-author names redacted in the public copy.)",https://www.everycrsreport.com/reports/RL32270.html,https://www.everycrsreport.com/files/20090311_RL32270_a7bbe8763684424b48f0d4b1d61c92412ac50d0c.pdf,2026-09-12,"Appendix A, from p. 25: 67 agreements in 23 states as of February 2009, with MOA type and signed date. Best independent pre-2010 roster. Not yet parsed by the pipeline."
sources/reports/CRS-RL32270_2007-08-30.pdf,government report,"Nunez-Neto, Blas, Michael John Garcia, and Karma Ester. 2007. Enforcing Immigration Law: The Role of State and Local Law Enforcement. CRS Report RL32270. Washington, DC: Congressional Research Service, updated August 30, 2007.",https://www.everycrsreport.com/reports/RL32270.html,https://www.everycrsreport.com/files/20070830_RL32270_137cbfcfdb2783a66987c265ab32bdf06fb9e40b.pdf,2026-09-12,"Appendix A, p. 31: participating agencies with officer counts as of 2007-08-29. No signing dates."
sources/reports/CHRG-111hhrg49374_House-Homeland_2009-03-04.pdf,hearing record,"U.S. House of Representatives, Committee on Homeland Security. 2009. Examining 287(g): The Role of State and Local Law Enforcement in Immigration Law. Hearing, 111th Congress, 1st Session, March 4, 2009. Serial No. 111-3. Washington, DC: GPO.",https://www.govinfo.gov/app/details/CHRG-111hhrg49374,https://www.govinfo.gov/content/pkg/CHRG-111hhrg49374/pdf/CHRG-111hhrg49374.pdf,2026-09-12,"Attachment 1 to the prepared statement of William Riley (ICE), pp. 13-14: the primary-source table behind the CRS appendix. The HTML version drops the inserted table; use the PDF."
sources/reports/MPI_Delegation-and-Divergence_Jan2011.pdf,NGO report,"Capps, Randy, Marc R. Rosenblum, Cristina Rodriguez, and Muzaffar Chishti. 2011. Delegation and Divergence: A Study of 287(g) State and Local Immigration Enforcement. Washington, DC: Migration Policy Institute, January 2011.",https://www.migrationpolicy.org/research/delegation-and-divergence-287g-state-and-local-immigration-enforcement,https://www.migrationpolicy.org/sites/default/files/publications/287g-divergence.pdf (the widely cited /pubs/ path now 404s),2026-09-12,"Appendix 2, p. 52: 'Active 287(g) Memoranda of Agreement, August 2010' - 72 jurisdictions with model type and original signing date. Not yet parsed."
sources/reports/MPI_Program-in-Flux_Mar2010.pdf,NGO report,"Rodriguez, Cristina, Muzaffar Chishti, Randy Capps, and Laura St. John. 2010. A Program in Flux: New Priorities and Implementation Challenges for 287(g). Washington, DC: Migration Policy Institute, March 2010.",https://www.migrationpolicy.org/research/program-flux-new-priorities-and-implementation-challenges-287g,https://www.migrationpolicy.org/sites/default/files/publications/287g-March2010.pdf,2026-09-12,"Appendix 1: 'Active MOAs and Those in Negotiation, January 2010' - 71 total across 30 states, with signing dates. Not yet parsed."
sources/reports/NCLR_Lacayo_2010.pdf,NGO report,"Lacayo, A. Elena. 2010. The Impact of Section 287(g) of the Immigration and Nationality Act on the Latino Community. Washington, DC: National Council of La Raza (now UnidosUS).",https://unidosus.org/publications/the-impact-of-section-287g-of-the-immigration-and-nationality-act-on-the-latino-community/,https://unidosus.org/wp-content/uploads/2021/07/287g_issuebrief_pubstore.pdf,2026-09-12,"Appendix A: 'Comprehensive List of 287(g) Agencies as of August 2, 2010' - ~71 agreements with model and date signed. Not yet parsed."
sources/reports/CIS_Vaughan-Edwards_Oct2009.pdf,NGO report,"Vaughan, Jessica M., and James R. Edwards, Jr. 2009. The 287(g) Program: Protecting Home Towns and Homeland. Backgrounder. Washington, DC: Center for Immigration Studies, October 2009.",https://cis.org/Report/287g-Program,https://cis.org/sites/cis.org/files/articles/2009/287g.pdf,2026-09-12,"Table 4: 56 agencies with arrests by FY, officers trained and MOA type. EXPLICITLY INCOMPLETE - agencies that did not report arrests to ICE are omitted. No signing dates."
sources/reports/Kostandini-et-al_AJAE_2014.pdf,journal article,"Kostandini, Genti, Elton Mykerezi, and Cesar Escalante. 2014. 'The Impact of Immigration Enforcement on the U.S. Farming Sector.' American Journal of Agricultural Economics 96(1): 172-192. https://doi.org/10.1093/ajae/aat081",https://onlinelibrary.wiley.com/doi/10.1093/ajae/aat081,Free copy at https://www.ncaeonline.org/wp-content/uploads/2021/03/Konstandini-et-al.-2014-Impact-of-Immigration-Enforcement-on-U.S.-Farming.pdf,2026-09-12,"Appendix Table A1 '287(g) Contracts Signed': 66 agreements (11 state, 55 county/local) with exact signing dates, 2002-07-02 to 2010-08-19. PARSED by R/02. Its own source note is ICE's fact-sheet URL, so it is that roster read backwards - survivor-biased, and missing 5 agreements on ICE's Oct-2010 table."
sources/reports/Cato-WP52_Forrester-Nowrasteh_2018.pdf,working paper,"Forrester, Andrew, and Alex Nowrasteh. 2018. Do Immigration Enforcement Programs Reduce Crime? Evidence from the 287(g) Program in North Carolina. Cato Working Paper No. 52. Washington, DC: Cato Institute, April 11, 2018.",https://www.cato.org/working-paper/do-immigration-enforcement-programs-reduce-crime,https://www.cato.org/sites/cato.org/files/pubs/pdf/working-paper-52-updated.pdf (requires a Referer header),2026-09-12,"Table A1 'Removals Pursuant to Sec.287(g) by County': 9 NC counties, annual removals, with an 'MOA Signed' row. 8 of its 9 dates match this reconstruction exactly; Cumberland County NC (6/25/2008) appears in NO ICE roster capture."
sources/reports/ACLU-NC_UNC_Feb2009.pdf,NGO/academic report,"Weissman, Deborah M., Rebecca C. Headen, and Katherine Lewis Parker. 2009. The Policies and Politics of Local Immigration Enforcement Laws: 287(g) Program in North Carolina. Chapel Hill: ACLU of North Carolina Legal Foundation and Immigration & Human Rights Policy Clinic, University of North Carolina at Chapel Hill, February 2009.",https://law.unc.edu/wp-content/uploads/2019/10/287gpolicyreview.pdf,https://law.unc.edu/wp-content/uploads/2019/10/287gpolicyreview.pdf,2026-09-12,"Appendices A-C with exhibits, pp. 101-144, assembled from public-records requests. Not yet parsed; worth reading by hand for NC-specific documents."
sources/reports/NIJ_Capellan-Sorg_2022.pdf,government-funded report,"Capellan, Joel A., and Evan T. Sorg. 2022. Do Local-Federal Immigration Enforcement Agreements Reduce Crime? A Nationwide Evaluation of the Crime Reduction Benefits of Section 287(g) of the United States Immigration and Nationality Act. NIJ Document No. 305488, Award 2018-R2-CX-0020. Washington, DC: National Institute of Justice, November 2022.",https://www.ojp.gov/library/publications/do-local-federal-immigration-enforcement-agreements-reduce-crime-nationwide,https://www.ojp.gov/pdffiles1/nij/grants/305488.pdf,2026-09-12,"FOIA'd ICE data on 167 counties that APPLIED 2005-2010, with accepted/rejected/implemented status - the only known source on non-adopters. The report itself publishes no county appendix; contact the authors."
sources/panels/287g_SC_EVerify_5_13_22.dta,replication data,"East, Chloe N., Annie Hines, Philip Luck, Hani Mansour, and Andrea Velasquez. 2023. 'The Labor Market Effects of Immigration Enforcement.' Journal of Labor Economics 41(4): 957-996. https://doi.org/10.1086/721152",https://github.com/cneast/East_etal_2022,https://raw.githubusercontent.com/cneast/East_etal_2022/main/data/287g_SC_EVerify_5_13_22.dta,2026-09-12,"County x year x month panel, 3,140 counties, 1996-2016: jail287g, task287g, state287g, Secure Communities, E-Verify. Built by the authors from ICE/DHS reports, MPI, Kostandini et al. and news articles (Appendix A.1) - a reconstruction, not a primary census. PARSED by R/04, audited by R/05."
crosswalk/ice_agency_to_county.csv,derived (hand-built),Compiled for this archive; reviewed against the 2015 Census county list.,n/a,n/a,2026-09-12,105 ICE agency names mapped to 'statewide' or county FIPS. THE ONLY HAND-BUILT FILE HERE. Municipal agencies collapse into their county; Carrollton PD spans Dallas/Denton/Collin; Virginia independent cities map to the adjacent county. These collapses are judgement calls and are the main source of false positives in east_vs_ice_audit.csv.
logs/worklist.tsv,provenance log,Generated during assembly.,n/a,n/a,2026-09-12,Every URL fetched and its destination path - the download manifest.
logs/moa_present.txt,provenance log,Generated during assembly.,n/a,n/a,2026-09-12,"Listing of the 170 MOA PDFs actually on disk, used to compute moa_pdf_present."
logs/moa_urls_from_rosters.tsv,provenance log,Generated during assembly.,n/a,n/a,2026-09-12,"MOA filename -> archived URL, harvested from the roster tables' own hyperlinks. Used to chase the 19 files the CDX enumeration missed; 18 of those proved never archived."
agreements/agreements_wayback_287gMOA/*.pdf (79 files),primary document,"U.S. Immigration and Customs Enforcement. Memoranda of Agreement under INA Sec. 287(g), various jurisdictions, 2016-2020.",https://www.ice.gov/doclib/287gMOA/<file>.pdf,Internet Archive Wayback Machine (id_ modifier); per-file urls in the folder's manifest.csv,2026-09-12,"Gap-fill pass: 79 signed MOAs archived under /doclib/287gMOA/, including the 18 mid-2017 agreements the original /doclib/foia/ CDX query missed and agreements from IL, NE, NY and WI. See inputs/pre2018/GAPS_STATUS.md."
sheets/sheets_wayback_pre2018/raw/ice_287g_pre2011_*.html (3 files),primary fact sheet (pre-roster era),"U.S. Immigration and Customs Enforcement. ""Delegation of Immigration Authority: Section 287(g)"" [fact sheet]. Captures 2008-07-23, 2010-01-07, 2010-02-08.",http://www.ice.gov/pi/news/factsheets/070622factsheet287gprogover.htm,Internet Archive Wayback Machine,2026-09-12,Program-overview pages with narrative and counts only; no roster table. Provenance for the pre-2011 era.
inputs/pre2018/gapfill/ACLU-GA_TerrorIsolationCobb_2009.pdf,NGO report,American Civil Liberties Union of Georgia. 2009. Terror and Isolation in Cobb: How Unchecked Police Power under 287(g) Has Torn Families Apart and Threatened Public Safety.,https://www.acluga.org/,"web retrieval, gap-fill pass",2026-09-12,"County-level 287(g) implementation study, Cobb County GA."
inputs/pre2018/gapfill/ALIPAC_ICE_roster_mirror_2010-10-29.html,secondary roster mirror,"Mirror of ICE's 287(g) participating-agencies table as of 2010-10-29, reposted on the ALIPAC forum.",n/a,"web retrieval, gap-fill pass",2026-09-12,Independent mirror of the Oct 2010 ICE roster; cross-check for the roster series' earliest captures.
inputs/pre2018/gapfill/CHRG-109hhrg28332_House-Homeland_2005-07-27.pdf,hearing record,"U.S. House of Representatives, Committee on Homeland Security. 2005. Hearing, July 27, 2005 (Serial CHRG-109hhrg28332).",https://www.govinfo.gov/app/details/CHRG-109hhrg28332,govinfo.gov,2026-09-12,Earliest hearing devoted to 287(g); no roster table but enumerates the then-small program in testimony.
inputs/pre2018/gapfill/CHRG-109hhrg36029_House-GovReform-Gastonia_2006-08-25.pdf,hearing record,"U.S. House of Representatives, Committee on Government Reform. 2006. Field hearing, Gastonia NC, August 25, 2006 (Serial CHRG-109hhrg36029).",https://www.govinfo.gov/app/details/CHRG-109hhrg36029,govinfo.gov,2026-09-12,"NC-focused 287(g) field hearing; testimony, no roster table."
inputs/pre2018/gapfill/CHRG-112hhrg72230_House-Homeland_2011-05-03.pdf,hearing record,"U.S. House of Representatives, Committee on Homeland Security. 2011. Hearing, May 3, 2011 (Serial CHRG-112hhrg72230).",https://www.govinfo.gov/app/details/CHRG-112hhrg72230,govinfo.gov,2026-09-12,287(g)-related hearing; no roster.
inputs/pre2018/gapfill/CHRG-112shrg91385_Senate-Judiciary_2012-04-24.pdf,hearing record,"U.S. Senate, Committee on the Judiciary. 2012. Hearing, April 24, 2012 (Serial CHRG-112shrg91385).",https://www.govinfo.gov/app/details/CHRG-112shrg91385,govinfo.gov,2026-09-12,287(g)-related hearing; no roster.
inputs/pre2018/gapfill/CRS-RL32270_2009-03-11_UNREDACTED.pdf,government report,"Seghetti, Lisa M., Karma Ester, and Michael John Garcia. 2009. Enforcing Immigration Law: The Role of State and Local Law Enforcement. CRS Report RL32270, March 11, 2009. Unredacted copy.",https://www.policyarchive.org/,PolicyArchive,2026-09-12,Same content as the EveryCRSReport copy but with the two blanked co-author names present.
inputs/pre2018/gapfill/HSAC_TaskForce_SecureCommunities_2011.pdf,government advisory report,Homeland Security Advisory Council. 2011. Task Force on Secure Communities: Findings and Recommendations.,https://www.dhs.gov/,"web retrieval, gap-fill pass",2026-09-12,Checked and contains no 287(g) roster; retained to document that this lead is closed.
inputs/pre2018/gapfill/ILRC_287g_FOIA_excerpts.pdf,FOIA production,Immigrant Legal Resource Center. 287(g) FOIA production excerpts.,https://www.ilrc.org/,ilrc.org,2026-09-12,"90 MB of FOIA-produced 287(g) documents; companion page saved as ILRC_287g_FOIA_page.html. OCR'd at 300 dpi and read through: contains NO roster table and no agreement census, only procedural correspondence (applications, routing, negotiation traffic). Lead closed; nothing in the pipeline reads it. inputs/pre2018/ocr_ilrc_macos.sh regenerates the page-level OCR if the compilation needs searching again."
inputs/pre2018/gapfill/ILRC_287g_FOIA_page.html,FOIA production (index page),Immigrant Legal Resource Center. 287(g) FOIA landing page.,https://www.ilrc.org/,ilrc.org,2026-09-12,Index page for the ILRC FOIA excerpts pdf.
inputs/pre2018/gapfill/JusticeStrategies_LocalDemocracyOnIce_2009.pdf,NGO report,Justice Strategies. 2009. Local Democracy on Ice: Why State and Local Governments Have No Business in Federal Immigration Law Enforcement.,https://www.justicestrategies.org/,"web retrieval, gap-fill pass",2026-09-12,Early nationwide 287(g) study with jurisdiction discussion.
inputs/pre2018/gapfill/McCann-etal_2024_JIMI_287g_MOA_analysis.html,journal article (landing page),McCann et al. 2024. 287(g) MOA analysis. Journal of International Migration and Integration.,n/a,"web retrieval, gap-fill pass",2026-09-12,"Closed access; MOA appendix embedded in article body, no supplementary file exists."
inputs/pre2018/gapfill/UNC_LatinoMigration_Nguyen-Gill_2010.pdf,academic report,"Nguyen, Mai Thi, and Hannah Gill. 2010. The 287(g) Program: The Costs and Consequences of Local Immigration Enforcement in North Carolina Communities. UNC Latino Migration Project.",https://migration.unc.edu/,"web retrieval, gap-fill pass",2026-09-12,NC 287(g) jurisdictions study; corroborates Cumberland County NC.
inputs/pre2018/logs/ice_live_287gMOA_index_2026-04-20.tsv,primary index (live site),"U.S. Immigration and Customs Enforcement. 287(g) archived-agreements index as served at ice.gov/287g-archive, updated 2026-04-20.",https://www.ice.gov/287g-archive,ice.gov via browser-mediated retrieval,2026-09-12,141 agreements with signing dates; ICE's own curated archive list.
inputs/pre2018/logs/worklist_287gMOA.tsv,provenance log,Generated during the gap-fill retrieval pass.,n/a,n/a,2026-09-12,Every /doclib/287gMOA/ url fetched and its destination; source of the urls in agreements/agreements_wayback_287gMOA/manifest.csv.
inputs/pre2018/logs/gapfill_targets.tsv; inputs/pre2018/logs/gapfill_results.tsv,provenance log,Generated during the gap-fill retrieval pass.,n/a,n/a,2026-09-12,Target list and per-item outcomes for the gap-fill pass; inputs/pre2018/gapfill.sh and chunk2.sh are the fetchers.
data/pre2018-secondary-rosters-long.csv,derived dataset,"Built by code/1-read-pre2018-secondary-rosters.R from the report appendices (CRS Feb 2009, GAO Sep 2007, Cato, MPI x2, NCLR).",n/a,n/a,2026-09-12,"312 agency-roster rows, 283 with signing dates; 32 flagged needs_review for pdf column-alignment issues. See inputs/pre2018/GAPS_STATUS.md."
inputs/pre2018/reports/McCann-Boateng-Schimchak_JIMI_2024.pdf,journal article,"McCann, Wesley S., Francis D. Boateng, and Kelsey Schimchak. 2024. 'An Analysis of 287(g) Program Memorandums of Agreement.' Journal of International Migration and Integration 25(2): 1043-1071. https://doi.org/10.1007/s12134-024-01122-3",https://link.springer.com/article/10.1007/s12134-024-01122-3,obtained after the initial closed-access finding; see inputs/pre2018/GAPS.md,2026-09-12,"MOA appendix (123 agreements, 2016-2020, with signing dates) parsed into data/pre2018-secondary-rosters-long.csv by code/1-read-pre2018-secondary-rosters.R."
inputs/pre2018/gapfill/ICE287g-removals/287g_removals-2006_2013_ICE.csv,primary statistics (FOIA),"U.S. Immigration and Customs Enforcement. Persons identified and removed through 287(g), by participating agency, FY2006-FY2013. Released in three tranches: 287g-masterstats2010oct31.pdf (FY2006-2010) and MuckRock FOIA requests 12227 (FY2011, FY2013) and 8942 (FY2012). Compiled and geocoded by the ICE287g-removals project.",https://www.ice.gov/doclib/foia/reports/287g-masterstats2010oct31.pdf,ICE287g-removals repository (see its README.md),2026-09-12,"73 agencies x FY2006-2013 identification and removal counts, with hand-geocoded addresses. ROSTER-GRADE: a nonzero count is ICE attesting the agreement was operating that fiscal year. Parsed by code/1-read-pre2018-ice-removals.R into data/pre2018-ice-removals-long.csv and folded into the reconciliation, where it pushes the earliest attested activity to 2005-10-01 (FY2006) -- two and a half years before the roster series -- and supplies the only evidence for Brevard and Manatee County FL, which appear on no roster we hold. NOT a census: agencies reporting no activity are absent, so it is excluded from the completeness ledger."
inputs/pre2018/gapfill/MyAttorneyUSA_roster_2017-08-01.tsv,secondary roster mirror,MyAttorneyUSA. Mirror of ICE's 287(g) participating-agencies table as of 1 August 2017.,n/a,"web retrieval, gap-fill pass",2026-09-12,"60 agencies with state and signing date, parsed by code/1-read-pre2018-secondary-rosters.R. Covers the same date as our own 2017-08-01 fact-sheet capture, making it the only independent check on the last pre-modern roster: the mirror lists 60 agencies where ICE's page shows 58."
inputs/pre2018/reports/Charlton-Kostandini_AJAE_2021.pdf,journal article,"Charlton, Diane, and Genti Kostandini. 2021. 'Can Technology Compensate for a Labor Shortage? Effects of 287(g) Immigration Policies on the U.S. Dairy Industry.' American Journal of Agricultural Economics 103(1): 70-89. https://doi.org/10.1111/ajae.12125",https://onlinelibrary.wiley.com/doi/10.1111/ajae.12125,Supplied by the user (Wiley paywalled; no open version or replication deposit),2026-09-12,"NO jurisdiction roster. County 287(g) implementation appears only as Figure 1, a map. States that by 2010 'several states and fifty-one counties had adopted 287(g) agreements' -- the same 51 counties East et al. code. Outcome data are confidential USDA ARMS/Census records, which is why no replication package exists. Retained to document that this lead is closed."
inputs/pre2018/derived/aclunc-appendices-finding.md,provenance note (negative finding),"Outcome of OCR-ing the appendix exhibits of ACLU-NC / UNC (Feb 2009), report pp. 101-144 (pdf pp. 106-152).",n/a,generated during the gap-fill pass,2026-09-12,"Records that the appendices hold NO roster and no signing dates -- they are NC public-records responses, jail and arrest logs and local statistics, i.e. case documentation for the report's fieldwork. Closes the lead so it is not re-investigated."
inputs/pre2018/logs/_cdx_index_287gMOA.tsv,provenance log,CDX worklist for the /doclib/287gMOA/ retrieval pass.,n/a,Internet Archive CDX API,2026-09-12,"200 url + timestamp pairs enumerating every /doclib/287gMOA/ capture considered, the companion to agreements/agreements_wayback_287gMOA/manifest.csv."
inputs/pre2018/logs/moa_retrieval_failures.tsv,provenance log,Connection failures recorded during the MOA retrieval pass.,n/a,generated during the gap-fill pass,2026-09-12,22 Wayback MOA urls that failed with curl rc=7 on first attempt. All 22 were obtained on retry and are present in agreements/agreements_wayback_pre2018/ -- kept so the archive records the episode rather than looking gap-free by luck.
sheets/sheets_wayback_pre2011/ (9 xlsx + raw/),primary roster (archived),"U.S. Immigration and Customs Enforcement. 287(g) participating-agencies tables, fact sheet and partners page, captures 2008-04-29 to 2010-05-08.",http://www.ice.gov/pi/news/factsheets/section287_g.htm ; http://www.ice.gov/pi/news/factsheets/section287g.htm ; http://www.ice.gov/partners/287g/Section287_g.htm,Internet Archive Wayback Machine (id_ modifier); per-capture urls in the folder manifest.csv,2026-09-12,"The earliest web roster generation, 9 snapshots. The partners page is restricted to captures on or before 2009-01-31 because ICE froze its content in Jan 2009 and kept re-serving it into 2010; three stale snapshots were purged for that reason. Built by code/0-287g-wayback-backfill.R."
sheets/sheets_wayback_pre2018/ (33 xlsx + raw/),primary roster (archived),"U.S. Immigration and Customs Enforcement. 287(g) fact-sheet participating-agencies tables, captures 2011-02-20 to 2017-08-01.",http://www.ice.gov/news/library/factsheets/287g.htm ; http://www.ice.gov/factsheets/287g,Internet Archive Wayback Machine (id_ modifier); per-capture urls in the folder manifest.csv,2026-09-12,"The fact-sheet roster era. Converted to xlsx snapshots by code/0-287g-pre2018-rosters.R and parsed by code/1-read-pre2018-factsheets.R, which reads the same 33 captures row-identically. raw/ also holds 3 pre-2011 program-overview pages that carry narrative and counts but no roster table."
sheets/sheets_wayback_20260912/ (50 xlsx + raw/),primary roster (archived),"U.S. Immigration and Customs Enforcement. 287(g) participating-agencies tables, captures 2017-09-01 to 2021-12-01.",https://www.ice.gov/287g ; https://www.ice.gov/identify-and-arrest/287g,Internet Archive Wayback Machine (id_ modifier); per-capture urls in the folder manifest.csv,2026-09-12,"Closes the 2018-2020 roster gap. The modern spreadsheet urls have no captures before 2021, so the roster for this era was recovered from the ice.gov/287g landing page instead. Built by code/0-287g-wayback-backfill.R."
sheets/sheets_wayback_20260911/ (105 xlsx + raw/),primary roster (archived),"U.S. Immigration and Customs Enforcement. 287(g) participating-agencies tables, captures 2022-01-01 to 2025-02-21.",https://www.ice.gov/identify-and-arrest/287g,Internet Archive Wayback Machine (id_ modifier); per-capture urls in the folder manifest.csv,2026-09-12,"The modern page-table era, bridging the fact-sheet rosters and this repo's own scrape folders. Built by code/0-287g-wayback-backfill.R."
sheets/sheets_wayback_20260814/ (435 xlsx),primary roster (archived),"U.S. Immigration and Customs Enforcement. participatingAgencies / pendingAgencies workbooks as published on ice.gov, captures through Feb 2025.",https://www.ice.gov/doclib/287gMOA/participatingAgencies*.xlsx,Internet Archive Wayback Machine (id_ modifier); per-file urls in the folder manifest.csv,2026-09-12,"Wayback copies of ICE's own workbooks, kept under ICE's filenames. Note that ICE misdates some of those filenames (the 2026-01-05 list is named participatingAgencies01052025pm), which is why code/functions.R floors filename-derived observation times at the file's newest signing date."
